trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
0,bimark_position_vote,16,300,16,0.9375,0.0,,,302,298,296,0110110100111111
0,bimark_hamming74,16,300,16,0.5625,0.0,,,302,295,293,1111100011111111
0,syncmark_position_vote,16,300,16,0.6875,0.0,False,,302,307,305,1110101101111111
0,syncmark_alignment,16,300,16,0.375,0.0,False,209.49999999999937,302,307,305,1001111111110101
1,bimark_position_vote,16,300,16,0.5625,0.0,,,302,305,303,0111111111011101
1,bimark_hamming74,16,300,16,0.5625,0.0,,,302,299,297,1111111111111011
1,syncmark_position_vote,16,300,16,0.25,0.0,False,,302,308,306,1101111011100111
1,syncmark_alignment,16,300,16,0.4375,0.0,False,193.99999999999937,302,308,306,1111111111101111
2,bimark_position_vote,16,300,16,0.5625,0.0,,,302,301,299,1111111111111111
2,bimark_hamming74,16,300,16,0.6875,0.0,,,302,298,296,1111110111110001
2,syncmark_position_vote,16,300,16,0.6875,0.0,False,,302,301,299,1111110101111111
2,syncmark_alignment,16,300,16,0.625,0.0,False,219.64999999999938,302,301,299,1111111101111111
3,bimark_position_vote,16,300,16,0.75,0.0,,,302,305,303,1111010011111111
3,bimark_hamming74,16,300,16,0.75,0.0,,,302,304,302,0110001110111111
3,syncmark_position_vote,16,300,16,0.9375,0.0,False,,302,301,299,1110000110111101
3,syncmark_alignment,16,300,16,0.9375,0.0,False,242.9999999999995,302,301,299,1110000110111101
4,bimark_position_vote,16,300,16,0.4375,0.0,,,302,298,296,0011111111111111
4,bimark_hamming74,16,300,16,0.625,0.0,,,302,300,298,0111000100101111
4,syncmark_position_vote,16,300,16,0.625,0.0,False,,302,303,301,0110101001111001
4,syncmark_alignment,16,300,16,0.3125,0.0,False,187.94999999999948,302,303,301,1101011111010111
5,bimark_position_vote,16,300,16,0.9375,0.0,,,302,301,299,1001110011011110
5,bimark_hamming74,16,300,16,0.9375,0.0,,,302,304,302,1011110011011010
5,syncmark_position_vote,16,300,16,0.6875,0.0,False,,302,306,304,1101101011011111
5,syncmark_alignment,16,300,16,0.6875,0.0,False,229.4499999999994,302,306,304,1101101111011110
6,bimark_position_vote,16,300,16,1.0,1.0,,,302,304,302,0110101011110101
6,bimark_hamming74,16,300,16,0.75,0.0,,,302,305,303,1111101011111111
6,syncmark_position_vote,16,300,16,0.75,0.0,False,,302,299,297,0111111111111101
6,syncmark_alignment,16,300,16,0.625,0.0,False,213.29999999999924,302,299,297,1111111111111111
7,bimark_position_vote,16,300,16,0.875,0.0,,,302,302,300,1011010001101111
7,bimark_hamming74,16,300,16,0.75,0.0,,,302,299,297,1011011101101111
7,syncmark_position_vote,16,300,16,0.6875,0.0,False,,302,297,295,1011100111111001
7,syncmark_alignment,16,300,16,0.5,0.0,False,209.2999999999994,302,297,295,1110110011111110
8,bimark_position_vote,16,300,16,1.0,1.0,,,302,301,299,1111011010001000
8,bimark_hamming74,16,300,16,0.5,0.0,,,302,299,297,1111111111111111
