trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
0,bimark_position_vote,16,300,6,0.9375,0.0,,,302,298,296,0110110100111111
0,bimark_hamming74,16,300,6,0.5625,0.0,,,302,295,293,1111100011111111
0,syncmark_position_vote,16,300,6,0.5,0.0,False,,302,307,305,1001111111111111
0,syncmark_alignment,16,300,6,0.625,0.0,False,154.4499999999993,302,307,305,1101111101111111
1,bimark_position_vote,16,300,6,0.5625,0.0,,,302,305,303,0111111111011101
1,bimark_hamming74,16,300,6,0.5625,0.0,,,302,299,297,1111111111111011
1,syncmark_position_vote,16,300,6,0.4375,0.0,False,,302,308,306,1111111011111111
1,syncmark_alignment,16,300,6,0.5,0.0,False,151.39999999999935,302,308,306,1111111111111111
2,bimark_position_vote,16,300,6,0.5625,0.0,,,302,301,299,1111111111111111
2,bimark_hamming74,16,300,6,0.6875,0.0,,,302,298,296,1111110111110001
2,syncmark_position_vote,16,300,6,0.75,0.0,False,,302,301,299,0110111111100011
2,syncmark_alignment,16,300,6,0.5625,0.0,False,167.09999999999926,302,301,299,1111110111110010
3,bimark_position_vote,16,300,6,0.75,0.0,,,302,305,303,1111010011111111
3,bimark_hamming74,16,300,6,0.75,0.0,,,302,304,302,0110001110111111
3,syncmark_position_vote,16,300,6,1.0,1.0,True,,302,301,299,1110000010111101
3,syncmark_alignment,16,300,6,0.9375,0.0,False,174.09999999999923,302,301,299,1110010010111101
4,bimark_position_vote,16,300,6,0.4375,0.0,,,302,298,296,0011111111111111
4,bimark_hamming74,16,300,6,0.625,0.0,,,302,300,298,0111000100101111
4,syncmark_position_vote,16,300,6,0.5625,0.0,False,,302,303,301,1010111111110011
4,syncmark_alignment,16,300,6,0.625,0.0,False,166.79999999999924,302,303,301,0011111111100011
5,bimark_position_vote,16,300,6,0.9375,0.0,,,302,301,299,1001110011011110
5,bimark_hamming74,16,300,6,0.9375,0.0,,,302,304,302,1011110011011010
5,syncmark_position_vote,16,300,6,0.6875,0.0,False,,302,306,304,1000111011111111
5,syncmark_alignment,16,300,6,0.5625,0.0,False,157.7499999999993,302,306,304,1101111110111111
6,bimark_position_vote,16,300,6,1.0,1.0,,,302,304,302,0110101011110101
6,bimark_hamming74,16,300,6,0.75,0.0,,,302,305,303,1111101011111111
6,syncmark_position_vote,16,300,6,0.875,0.0,False,,302,299,297,1110101011111101
