trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
0,bimark_position_vote,16,160,6,0.9375,0.0,,,162,161,159,1110010100111111
0,bimark_hamming74,16,160,6,0.4375,0.0,,,162,157,155,1111111111101010
0,syncmark_position_vote,16,160,6,0.375,0.0,False,,162,166,164,1001111011111101
0,syncmark_alignment,16,160,6,0.5,0.0,False,77.49999999999999,162,166,164,1111101110011101
1,bimark_position_vote,16,160,6,0.4375,0.0,,,162,165,163,0101111111011111
1,bimark_hamming74,16,160,6,0.5625,0.0,,,162,160,158,1111111111111011
1,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,165,163,1111111011111111
1,syncmark_alignment,16,160,6,0.375,0.0,False,75.44999999999999,162,165,163,1101111111101111
2,bimark_position_vote,16,160,6,0.625,0.0,,,162,161,159,1111111111111101
2,bimark_hamming74,16,160,6,1.0,1.0,,,162,160,158,0110110101100101
2,syncmark_position_vote,16,160,6,0.75,0.0,False,,162,162,160,1110111111100111
2,syncmark_alignment,16,160,6,0.5,0.0,False,96.49999999999986,162,162,160,1111111111110010
3,bimark_position_vote,16,160,6,0.75,0.0,,,162,164,162,1110110111111101
3,bimark_hamming74,16,160,6,0.875,0.0,,,162,162,160,1110001110111101
3,syncmark_position_vote,16,160,6,0.8125,0.0,False,,162,162,160,1110110011111101
3,syncmark_alignment,16,160,6,0.8125,0.0,False,92.29999999999984,162,162,160,1110011011111101
4,bimark_position_vote,16,160,6,0.5,0.0,,,162,158,156,0011111111101111
4,bimark_hamming74,16,160,6,0.375,0.0,,,162,162,160,1111000111111010
4,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,163,161,1011111111110010
4,syncmark_alignment,16,160,6,0.625,0.0,False,86.49999999999986,162,163,161,0010111111100111
5,bimark_position_vote,16,160,6,0.9375,0.0,,,162,160,158,1001110011011110
5,bimark_hamming74,16,160,6,0.8125,0.0,,,162,164,162,1011111111011010
5,syncmark_position_vote,16,160,6,0.75,0.0,False,,162,164,162,1011011011011110
5,syncmark_alignment,16,160,6,0.375,0.0,False,82.2999999999999,162,164,162,0111011101111111
6,bimark_position_vote,16,160,6,1.0,1.0,,,162,161,159,0110101011110101
6,bimark_hamming74,16,160,6,0.625,0.0,,,162,166,164,1111111111111100
6,syncmark_position_vote,16,160,6,0.9375,0.0,False,,162,161,159,1110101011110101
6,syncmark_alignment,16,160,6,0.8125,0.0,True,88.64999999999986,162,161,159,1111111011110101
7,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1011000001101101
7,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1011000001101101
7,syncmark_position_vote,16,160,6,0.4375,0.0,False,,162,160,158,1101110111000111
7,syncmark_alignment,16,160,6,0.5,0.0,False,87.64999999999986,162,160,158,1101111011100111
8,bimark_position_vote,16,160,6,1.0,1.0,,,162,164,162,1111011010001000
8,bimark_hamming74,16,160,6,0.8125,0.0,,,162,159,157,1111111110001100
8,syncmark_position_vote,16,160,6,0.625,0.0,False,,162,163,161,1111111110111011
8,syncmark_alignment,16,160,6,0.6875,0.0,False,85.14999999999995,162,163,161,1111111111001110
9,bimark_position_vote,16,160,6,0.9375,0.0,,,162,162,160,1100101010000111
9,bimark_hamming74,16,160,6,0.5625,0.0,,,162,168,166,1111111100010001
9,syncmark_position_vote,16,160,6,0.875,0.0,False,,162,162,160,1100111010110111
9,syncmark_alignment,16,160,6,0.875,0.0,False,94.99999999999986,162,162,160,1100111010110111
10,bimark_position_vote,16,160,6,0.6875,0.0,,,162,160,158,1111110000111110
10,bimark_hamming74,16,160,6,0.6875,0.0,,,162,165,163,1100010011111111
10,syncmark_position_vote,16,160,6,0.5,0.0,False,,162,162,160,1011110101101111
10,syncmark_alignment,16,160,6,0.3125,0.0,False,90.49999999999989,162,162,160,1011111111111111
11,bimark_position_vote,16,160,6,0.5625,0.0,,,162,165,163,1011110111111111
11,bimark_hamming74,16,160,6,0.5,0.0,,,162,166,164,1111111111111011
11,syncmark_position_vote,16,160,6,0.6875,0.0,False,,162,163,161,1111111100110011
11,syncmark_alignment,16,160,6,0.75,0.0,False,86.49999999999993,162,163,161,1111101100011011
12,bimark_position_vote,16,160,6,0.75,0.0,,,162,157,155,1010100111100011
12,bimark_hamming74,16,160,6,1.0,1.0,,,162,163,161,1010000101010011
12,syncmark_position_vote,16,160,6,0.625,0.0,False,,162,162,160,1011111111010111
12,syncmark_alignment,16,160,6,0.4375,0.0,False,82.0,162,162,160,1110111011110101
13,bimark_position_vote,16,160,6,0.625,0.0,,,162,162,160,0111101111110110
