method,text_length,attack_name,trial,bit_accuracy,exact_recovery,crc_pass,observed_length,edit_ratio
repetition,120,mixed_ids,121000,0.375,0.0,0.0,118,0.06
repetition,120,mixed_ids,121001,1.0,1.0,1.0,118,0.06
repetition,120,mixed_ids,121002,0.4375,0.0,0.0,120,0.06
repetition,120,mixed_ids,121003,0.5,0.0,0.0,121,0.06
repetition,120,mixed_ids,121004,0.5625,0.0,0.0,116,0.06
repetition,120,mixed_ids,121005,0.8125,0.0,1.0,117,0.06
repetition,120,mixed_ids,121006,0.9375,0.0,0.0,120,0.06
repetition,120,mixed_ids,121007,0.875,0.0,0.0,120,0.06
repetition,120,mixed_ids,121008,0.75,0.0,0.0,120,0.06
repetition,120,mixed_ids,121009,0.5625,0.0,0.0,116,0.06
repetition,120,mixed_ids,121010,0.4375,0.0,0.0,116,0.06
repetition,120,mixed_ids,121011,0.375,0.0,0.0,119,0.06
repetition,120,mixed_ids,121012,0.5,0.0,0.0,120,0.06
repetition,120,mixed_ids,121013,0.8125,0.0,1.0,117,0.06
repetition,120,mixed_ids,121014,0.75,0.0,0.0,116,0.06
repetition,120,mixed_ids,121015,0.25,0.0,0.0,117,0.06
repetition,120,mixed_ids,121016,0.5,0.0,1.0,122,0.06
repetition,120,mixed_ids,121017,1.0,1.0,1.0,121,0.06
repetition,120,mixed_ids,121018,0.5,0.0,0.0,122,0.06
repetition,120,mixed_ids,121019,0.5,0.0,0.0,116,0.06
repetition,120,mixed_ids,121020,0.375,0.0,0.0,124,0.06
repetition,120,mixed_ids,121021,0.75,0.0,0.0,118,0.06
repetition,120,mixed_ids,121022,0.4375,0.0,0.0,120,0.06
repetition,120,mixed_ids,121023,0.375,0.0,0.0,115,0.06
repetition,120,mixed_ids,121024,0.625,0.0,0.0,115,0.06
repetition,120,mixed_ids,121025,0.3125,0.0,0.0,120,0.06
repetition,120,mixed_ids,121026,0.6875,0.0,0.0,119,0.06
repetition,120,mixed_ids,121027,0.5,0.0,0.0,118,0.06
repetition,120,mixed_ids,121028,0.4375,0.0,0.0,119,0.06
repetition,120,mixed_ids,121029,0.5,0.0,0.0,119,0.06
repetition,120,mixed_ids,121030,0.8125,0.0,0.0,123,0.06
repetition,120,mixed_ids,121031,1.0,1.0,1.0,119,0.06
repetition,120,mixed_ids,121032,0.5625,0.0,0.0,121,0.06
repetition,120,mixed_ids,121033,0.5625,0.0,0.0,124,0.06
repetition,120,mixed_ids,121034,0.8125,0.0,0.0,120,0.06
repetition,120,mixed_ids,121035,0.5625,0.0,0.0,119,0.06
repetition,120,mixed_ids,121036,0.5625,0.0,0.0,123,0.06
repetition,120,mixed_ids,121037,0.6875,0.0,0.0,117,0.06
repetition,120,mixed_ids,121038,0.625,0.0,0.0,118,0.06
repetition,120,mixed_ids,121039,0.8125,0.0,0.0,124,0.06
repetition,120,mixed_ids,121040,0.5625,0.0,0.0,125,0.06
repetition,120,mixed_ids,121041,1.0,1.0,1.0,120,0.06
repetition,120,mixed_ids,121042,0.4375,0.0,0.0,121,0.06
repetition,120,mixed_ids,121043,0.375,0.0,0.0,124,0.06
repetition,120,mixed_ids,121044,0.6875,0.0,0.0,119,0.06
repetition,120,mixed_ids,121045,0.875,0.0,0.0,122,0.06
repetition,120,mixed_ids,121046,0.4375,0.0,1.0,116,0.06
repetition,120,mixed_ids,121047,0.8125,0.0,0.0,122,0.06
repetition,120,mixed_ids,121048,0.4375,0.0,1.0,116,0.06
repetition,120,mixed_ids,121049,0.6875,0.0,0.0,124,0.06
hamming74,120,mixed_ids,120900,0.625,0.0,0.0,120,0.06
hamming74,120,mixed_ids,120901,0.8125,0.0,0.0,118,0.06
hamming74,120,mixed_ids,120902,0.5625,0.0,0.0,120,0.06
hamming74,120,mixed_ids,120903,0.6875,0.0,0.0,116,0.06
hamming74,120,mixed_ids,120904,0.9375,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120905,0.625,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120906,0.8125,0.0,1.0,121,0.06
hamming74,120,mixed_ids,120907,0.3125,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120908,0.875,0.0,1.0,121,0.06
hamming74,120,mixed_ids,120909,0.5,0.0,1.0,120,0.06
hamming74,120,mixed_ids,120910,0.5,0.0,0.0,123,0.06
hamming74,120,mixed_ids,120911,0.5,0.0,0.0,120,0.06
hamming74,120,mixed_ids,120912,1.0,1.0,1.0,120,0.06
hamming74,120,mixed_ids,120913,0.875,0.0,1.0,118,0.06
hamming74,120,mixed_ids,120914,0.625,0.0,0.0,123,0.06
hamming74,120,mixed_ids,120915,0.8125,0.0,0.0,118,0.06
hamming74,120,mixed_ids,120916,0.25,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120917,0.5,0.0,1.0,117,0.06
hamming74,120,mixed_ids,120918,0.4375,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120919,0.4375,0.0,0.0,123,0.06
hamming74,120,mixed_ids,120920,0.5625,0.0,0.0,123,0.06
hamming74,120,mixed_ids,120921,1.0,1.0,1.0,119,0.06
hamming74,120,mixed_ids,120922,0.5,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120923,1.0,1.0,1.0,120,0.06
hamming74,120,mixed_ids,120924,0.5625,0.0,0.0,118,0.06
hamming74,120,mixed_ids,120925,0.9375,0.0,0.0,121,0.06
hamming74,120,mixed_ids,120926,1.0,1.0,1.0,122,0.06
hamming74,120,mixed_ids,120927,0.5625,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120928,0.9375,0.0,0.0,120,0.06
hamming74,120,mixed_ids,120929,0.9375,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120930,0.625,0.0,0.0,117,0.06
hamming74,120,mixed_ids,120931,0.8125,0.0,0.0,120,0.06
hamming74,120,mixed_ids,120932,0.5,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120933,0.5,0.0,0.0,119,0.06
hamming74,120,mixed_ids,120934,0.4375,0.0,0.0,116,0.06
hamming74,120,mixed_ids,120935,0.75,0.0,0.0,118,0.06
hamming74,120,mixed_ids,120936,0.75,0.0,0.0,121,0.06
hamming74,120,mixed_ids,120937,0.6875,0.0,0.0,117,0.06
hamming74,120,mixed_ids,120938,0.6875,0.0,0.0,117,0.06
hamming74,120,mixed_ids,120939,1.0,1.0,1.0,121,0.06
hamming74,120,mixed_ids,120940,0.625,0.0,0.0,121,0.06
hamming74,120,mixed_ids,120941,0.625,0.0,0.0,123,0.06
hamming74,120,mixed_ids,120942,0.5,0.0,0.0,124,0.06
hamming74,120,mixed_ids,120943,0.9375,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120944,0.1875,0.0,0.0,121,0.06
hamming74,120,mixed_ids,120945,1.0,1.0,1.0,120,0.06
hamming74,120,mixed_ids,120946,0.25,0.0,0.0,122,0.06
hamming74,120,mixed_ids,120947,0.75,0.0,0.0,117,0.06
hamming74,120,mixed_ids,120948,1.0,1.0,1.0,121,0.06
hamming74,120,mixed_ids,120949,0.5,0.0,1.0,121,0.06
syncmark,120,mixed_ids,120800,0.5,0.0,0.0,123,0.06
syncmark,120,mixed_ids,120801,0.875,0.0,0.0,124,0.06
syncmark,120,mixed_ids,120802,0.9375,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120803,1.0,1.0,1.0,119,0.06
syncmark,120,mixed_ids,120804,0.625,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120805,0.75,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120806,0.75,0.0,1.0,120,0.06
syncmark,120,mixed_ids,120807,0.875,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120808,0.625,0.0,0.0,120,0.06
syncmark,120,mixed_ids,120809,0.5625,0.0,0.0,123,0.06
syncmark,120,mixed_ids,120810,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120811,1.0,1.0,1.0,119,0.06
syncmark,120,mixed_ids,120812,1.0,1.0,1.0,117,0.06
syncmark,120,mixed_ids,120813,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120814,1.0,1.0,1.0,121,0.06
syncmark,120,mixed_ids,120815,0.9375,0.0,0.0,120,0.06
syncmark,120,mixed_ids,120816,0.75,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120817,0.9375,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120818,0.9375,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120819,0.75,0.0,0.0,124,0.06
syncmark,120,mixed_ids,120820,0.6875,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120821,0.625,0.0,0.0,119,0.06
syncmark,120,mixed_ids,120822,0.8125,0.0,0.0,119,0.06
syncmark,120,mixed_ids,120823,0.875,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120824,1.0,1.0,1.0,125,0.06
syncmark,120,mixed_ids,120825,0.75,0.0,0.0,120,0.06
syncmark,120,mixed_ids,120826,0.875,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120827,0.625,0.0,0.0,119,0.06
syncmark,120,mixed_ids,120828,0.875,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120829,1.0,1.0,1.0,117,0.06
syncmark,120,mixed_ids,120830,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120831,0.5,0.0,0.0,122,0.06
syncmark,120,mixed_ids,120832,0.6875,0.0,0.0,116,0.06
syncmark,120,mixed_ids,120833,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120834,0.4375,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120835,0.6875,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120836,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120837,0.625,0.0,0.0,119,0.06
syncmark,120,mixed_ids,120838,0.5625,0.0,0.0,119,0.06
syncmark,120,mixed_ids,120839,0.9375,0.0,0.0,123,0.06
syncmark,120,mixed_ids,120840,1.0,1.0,0.0,121,0.06
syncmark,120,mixed_ids,120841,0.4375,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120842,0.625,0.0,0.0,120,0.06
syncmark,120,mixed_ids,120843,1.0,1.0,0.0,119,0.06
syncmark,120,mixed_ids,120844,0.875,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120845,1.0,1.0,1.0,121,0.06
syncmark,120,mixed_ids,120846,0.5625,0.0,0.0,118,0.06
syncmark,120,mixed_ids,120847,0.9375,0.0,0.0,121,0.06
syncmark,120,mixed_ids,120848,1.0,1.0,1.0,118,0.06
syncmark,120,mixed_ids,120849,0.8125,0.0,0.0,121,0.06
repetition,160,mixed_ids,161000,1.0,1.0,1.0,160,0.06
repetition,160,mixed_ids,161001,0.625,0.0,0.0,162,0.06
repetition,160,mixed_ids,161002,0.5,0.0,0.0,163,0.06
repetition,160,mixed_ids,161003,0.5625,0.0,0.0,163,0.06
repetition,160,mixed_ids,161004,0.5,0.0,0.0,159,0.06
repetition,160,mixed_ids,161005,1.0,1.0,1.0,160,0.06
repetition,160,mixed_ids,161006,0.9375,0.0,0.0,161,0.06
repetition,160,mixed_ids,161007,0.5625,0.0,1.0,156,0.06
repetition,160,mixed_ids,161008,0.25,0.0,1.0,162,0.06
repetition,160,mixed_ids,161009,0.75,0.0,0.0,156,0.06
repetition,160,mixed_ids,161010,0.4375,0.0,0.0,158,0.06
repetition,160,mixed_ids,161011,0.9375,0.0,0.0,161,0.06
repetition,160,mixed_ids,161012,0.5625,0.0,0.0,158,0.06
repetition,160,mixed_ids,161013,0.3125,0.0,0.0,161,0.06
repetition,160,mixed_ids,161014,0.8125,0.0,0.0,163,0.06
repetition,160,mixed_ids,161015,0.5625,0.0,0.0,162,0.06
repetition,160,mixed_ids,161016,0.75,0.0,0.0,161,0.06
repetition,160,mixed_ids,161017,1.0,1.0,1.0,162,0.06
repetition,160,mixed_ids,161018,0.6875,0.0,0.0,158,0.06
repetition,160,mixed_ids,161019,0.5,0.0,0.0,158,0.06
repetition,160,mixed_ids,161020,0.5625,0.0,1.0,159,0.06
repetition,160,mixed_ids,161021,0.25,0.0,1.0,163,0.06
repetition,160,mixed_ids,161022,1.0,1.0,1.0,162,0.06
repetition,160,mixed_ids,161023,0.3125,0.0,0.0,161,0.06
repetition,160,mixed_ids,161024,0.6875,0.0,0.0,162,0.06
repetition,160,mixed_ids,161025,0.25,0.0,1.0,161,0.06
repetition,160,mixed_ids,161026,0.4375,0.0,0.0,158,0.06
repetition,160,mixed_ids,161027,0.9375,0.0,0.0,160,0.06
repetition,160,mixed_ids,161028,0.6875,0.0,0.0,159,0.06
repetition,160,mixed_ids,161029,0.5,0.0,0.0,159,0.06
repetition,160,mixed_ids,161030,0.6875,0.0,0.0,164,0.06
repetition,160,mixed_ids,161031,0.4375,0.0,0.0,160,0.06
repetition,160,mixed_ids,161032,0.9375,0.0,0.0,158,0.06
repetition,160,mixed_ids,161033,0.3125,0.0,0.0,159,0.06
repetition,160,mixed_ids,161034,0.8125,0.0,0.0,163,0.06
repetition,160,mixed_ids,161035,0.625,0.0,0.0,160,0.06
repetition,160,mixed_ids,161036,0.4375,0.0,0.0,161,0.06
repetition,160,mixed_ids,161037,0.875,0.0,1.0,161,0.06
repetition,160,mixed_ids,161038,0.75,0.0,0.0,163,0.06
repetition,160,mixed_ids,161039,0.3125,0.0,0.0,161,0.06
repetition,160,mixed_ids,161040,0.5,0.0,1.0,160,0.06
repetition,160,mixed_ids,161041,0.4375,0.0,1.0,159,0.06
repetition,160,mixed_ids,161042,0.6875,0.0,0.0,158,0.06
repetition,160,mixed_ids,161043,0.5,0.0,0.0,158,0.06
repetition,160,mixed_ids,161044,0.5625,0.0,0.0,162,0.06
repetition,160,mixed_ids,161045,0.3125,0.0,0.0,157,0.06
repetition,160,mixed_ids,161046,1.0,1.0,1.0,160,0.06
repetition,160,mixed_ids,161047,0.8125,0.0,0.0,162,0.06
repetition,160,mixed_ids,161048,0.875,0.0,0.0,160,0.06
repetition,160,mixed_ids,161049,0.8125,0.0,1.0,163,0.06
hamming74,160,mixed_ids,160900,0.8125,0.0,0.0,165,0.06
hamming74,160,mixed_ids,160901,0.6875,0.0,0.0,160,0.06
hamming74,160,mixed_ids,160902,0.5,0.0,1.0,161,0.06
hamming74,160,mixed_ids,160903,0.875,0.0,0.0,160,0.06
hamming74,160,mixed_ids,160904,0.75,0.0,0.0,163,0.06
hamming74,160,mixed_ids,160905,1.0,1.0,1.0,160,0.06
